,ICAO,Airline,Country/Region
3407,JKT,Jetstar Hong Kong Airways,China
3408,JXT,Jetstream Executive Travel,United Kingdom
3409,RSP,JetSuite,United States
3410,JPQ,Jett Paqueteria,Mexico
3411,JEC,Jett8 Airlines Cargo,Singapore
3412,JTG,Jettime,Denmark
3413,JTN,Jet Test Intl.,United States
3414,JWY,Jetways of Iowa,United States
3415,JXX,JetX Airlines,Iceland
3416,JIB,Jibair,Djibouti
3417,JSW,Jigsaw Project,United Kingdom
3418,HKN,Jim Hankins Air Service,United States
3419,RAS,Jim Ratliff Air Service,United States
3420,JNA,Jin Air,South Korea
3421,JDG,Joanas Avialinijos,Lithuania
3422,JBR,Job Air,Czech Republic
3423,JHN,Johnson Air,United States
3424,JON,Johnsons Air,Ghana
3425,JMJ,Johnston Airways,United States
3426,JMM,Joint Military Commission,Sudan
3427,JMT,Jomartaxi Aereo,Mexico
3428,ODI,"Jonsson, H Air Taxi",Iceland
3429,JAV,Jordan Aviation,Jordan
3430,JCI,Jordan International Air Cargo,Jordan
3431,JVK,Jorvik,Iceland
3432,ENZ,Jota Aviation,United Kingdom
3433,JNJ,Journey Jet,Thailand
3434,JSX,JSX (airline),United States
3435,JUR,Ju-Air,Switzerland
3436,JFS,Juanda Flying School,Indonesia
3437,JUC,Juba Cargo Services & Aviation Company,Sudan
3438,JUB,Jubba Airways,Somalia
3439,DKE,Jubilee Airways,United Kingdom
3440,DKH,Juneyao Airlines,China
3441,JSY,Jung Sky,Croatia
3442,MEY,Justair Scandinavia,Sweden
3443,DOJ,Justice Prisoner and Alien Transportation System,United States
3444,KSA,K S Avia,Latvia
3445,KCR,Kolob Canyons Air Services,United States
3446,KHK,Kharkiv Airlines,Ukraine
3447,KGZ,Kyrgyz Airlines,Kyrgyzstan
3448,KDC,K D Air Corporation,Canada
3449,KMI,K-Mile Air,Thailand
3450,KLS,Kalstar Aviation,Indonesia
3451,KNI,KD Avia,Russia
3452,KLC,KLM Cityhopper,Netherlands
3453,KLH,KLM Helicopter,Netherlands
3454,KLM,KLM,Netherlands
3455,QNK,Kabo Air,Nigeria
3456,KMC,Kahama Mining Corporation,Tanzania
3457,KAI,KaiserAir,United States
3458,CKS,Kalitta Air,United States
3459,KFS,Kalitta Charters,United States
3460,KII,Kalitta Charters II,United States
3461,KES,Kallat El Saker Air Company,Libya
3462,KMF,Kam Air,Afghanistan
3463,KMP,Kampuchea Airlines,Cambodia
3464,KIZ,Kanaf-Arkia Airlines,Israel
3465,KHE,Kanfey Ha'emek Aviation,Israel
3466,KSU,Kansas State University,United States
3467,AKT,Karat,Russia
3468,KRB,Karibu Airways Company,Tanzania
3469,KLG,Karlog Air Charter,Denmark
3470,KAJ,Karthago Airlines,Tunisia
3471,KAE,Kartika Airlines,Indonesia
3472,KTV,Kata Transportation,Sudan
3473,KTK,Katekavia,Russia
3474,KAT,Kato Airline,Norway
3475,MVD,Kavminvodyavia,Russia
3476,XKA,Kavouras Inc,United States
3477,KRN,Kaz Agros Avia,Kazakhstan
3478,KAW,Kaz Air West,Kazakhstan
3479,KAO,Kazan Aviation Production Association,Russia
3480,KPH,Kazan Helicopters,Russia
3481,KKA,Kazavia,Kazakhstan
3482,KZS,Kazaviaspas,Kazakhstan
3483,KCH,KC International Airlines,Cambodia
3484,JFK,Keenair Charter -,United Kingdom
3485,KLX,Kelix Air,Nigeria
3486,FKL,Kelner Airways,Canada
3487,KFA,Kelowna Flightcraft Air Charter,Canada
3488,KDA,Kendell Airlines,Australia
3489,KEN,Kenmore Air,United States
3490,KBA,Kenn Borek Air,Canada
3491,KAH,Kent Aviation,Canada
3492,KQA,Kenya Airways,Kenya
3493,KVS,Kevis,Kazakhstan
3494,KEY,Key Airlines,United States
3495,LYM,Key Lime Air,United States
3496,FTP,Keystone Aerial Surveys,United States
3497,KEE,Keystone Air Service,Canada
3498,KZW,Khalifa Airways,Algeria
3499,WKH,Kharkov Aircraft Manufacturing Company,Ukraine
3500,KHR,Khazar,Turkmenistan
3501,KHP,Khoezestan Photros Air Lines,Iran
3502,KRV,Khoriv-Avia,Ukraine
3503,KHO,Khors Aircompany,Ukraine
3504,KHY,Khyber Afghan Airlines,Afghanistan
3505,UAK,Kiev Aviation Plant,Ukraine
3506,KNG,King Aviation,United Kingdom
3507,BEZ,Kingfisher Air Services,United States
3508,KFR,Kingfisher Airlines,India
3509,KNX,Knighthawk Air Express,Canada
3510,KAS,Kingston Air Services,Canada
3511,KIP,Kinnarps,Sweden
3512,KNS,Kinshasa Airways,Democratic Republic of the Congo
3513,KTA,Kirov Air Enterprise,Russia
3514,IRK,Kish Air,Iran
3515,KHA,Kitty Hawk Aircargo,United States
3516,KHC,Kitty Hawk Airways,United States
3517,KIA,Kiwi International Air Lines,United States
3518,KRA,Kiwi Regional Airlines,New Zealand
3519,KNA,Knight Air,Canada
3520,KHX,Knighthawk Express,United States
3521,KGT,Knights Airlines,Nigeria
3522,KOA,Koanda Avacion,Spain
3523,OYE,Koda International,Nigeria
3524,KGL,Kogalymavia Air Company,Russia
3525,KOM,Kom Activity,Netherlands
3526,KMA,Komiaviatrans State Air Enterprise,Russia
3527,KMV,Komiinteravia,Russia
